,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
151,18.9,16.9,15.9,38.4,20.7,33.1,22.2,47.8,36.5,40.3,65.6,95.1,25.7,35.1,66.5,43.1,49.4,56.1
152,18.2,16.2,15.3,38,20.4,31.7,21.1,45,34.7,38.2,61.6,87.1,24.7,33.5,61.4,40.6,45.3,52.4
153,20.7,18.8,17.4,39.3,21.2,36.5,24.8,54.5,40.9,45.4,75.3,115.4,28.3,38.9,79.3,49,59.8,65.2
154,17.9,15.9,15,37.8,20.3,31.1,20.6,43.9,33.9,37.3,60,84,24.3,32.8,59.4,39.6,43.7,50.9
155,21.5,19.6,18.1,39.7,21.5,37.9,25.9,57.5,42.9,47.7,79.7,125,29.4,40.6,85.3,51.7,64.8,69.5
156,23.5,21.6,19.8,40.7,22.1,41.7,28.9,65.4,47.9,53.6,91.4,151.2,32.2,45,101.3,58.7,78.2,80.5
157,23.7,21.8,19.9,40.8,22.1,42.1,29.2,66.2,48.4,54.2,92.6,153.9,32.5,45.4,103,59.4,79.6,81.7
158,24.2,22.3,20.4,41,22.2,43,29.9,68.2,49.7,55.6,95.5,160.8,33.1,46.5,107.2,61.2,83.2,84.5
159,24.2,22.3,20.4,41,22.2,43,29.9,68.2,49.7,55.6,95.5,160.8,33.1,46.5,107.2,61.2,83.2,84.5
160,25.8,23.9,21.6,41.7,22.7,45.9,32.3,74.5,53.7,60.3,104.9,183.4,35.3,49.9,120.8,66.8,94.7,93.6
161,25.2,23.3,21.1,41.4,22.5,44.7,31.3,72,52.1,58.5,101.2,174.3,34.5,48.5,115.4,64.6,90,90
162,25.2,23.3,21.1,41.4,22.5,44.7,31.3,72,52.1,58.5,101.2,174.3,34.5,48.5,115.4,64.6,90,90
163,27.5,25.7,23.1,42.4,23.1,49.1,34.8,81.6,58.1,65.6,115.6,210,37.7,53.6,136.7,73.1,108.3,104
164,29.6,28,24.9,43.3,23.6,53.2,38.3,91.2,64,72.5,130,247.5,40.8,58.5,158.7,81.6,127.4,118.3
165,27.1,25.3,22.7,42.3,23,48.4,34.3,80,57.1,64.4,113.2,203.9,37.2,52.8,133.1,71.7,105.2,101.7
166,28.8,27.1,24.1,43,23.4,51.5,36.9,87.2,61.6,69.6,124,231.7,39.5,56.5,149.5,78.1,119.4,112.4
167,17,15,14.3,37.3,20,29.6,19.5,41,32,35,55.8,75.8,23.1,31.1,54.1,37,39.5,47
168,18.3,16.3,15.4,38,20.4,31.9,21.2,45.4,34.9,38.4,62.1,88.1,24.8,33.7,62,40.9,45.8,52.9
